ticker,svb_move_bp,description
USSW2 Curncy,-100,USD 2Y Swap
USSW3 Curncy,-90,USD 3Y Swap
USSW5 Curncy,-70,USD 5Y Swap
USSW7 Curncy,-55,USD 7Y Swap
USSW10 Curncy,-50,USD 10Y Swap
USSW30 Curncy,-40,USD 30Y Swap
EUSA2 Curncy,-50,EUR 2Y Swap
EUSA5 Curncy,-40,EUR 5Y Swap
EUSA10 Curncy,-35,EUR 10Y Swap
EUSA30 Curncy,-25,EUR 30Y Swap
BPSW2 Curncy,-55,GBP 2Y Swap
BPSW5 Curncy,-45,GBP 5Y Swap
BPSW10 Curncy,-40,GBP 10Y Swap
BPSW30 Curncy,-30,GBP 30Y Swap
CHSW2 Curncy,-45,CHF 2Y Swap
CHSW5 Curncy,-35,CHF 5Y Swap
CHSW10 Curncy,-30,CHF 10Y Swap
JYSW2 Curncy,-20,JPY 2Y Swap
JYSW5 Curncy,-15,JPY 5Y Swap
JYSW10 Curncy,-12,JPY 10Y Swap
CDSW2 Curncy,-85,CAD 2Y Swap
CDSW5 Curncy,-65,CAD 5Y Swap
CDSW10 Curncy,-55,CAD 10Y Swap
ADSW2 Curncy,-75,AUD 2Y Swap
ADSW5 Curncy,-60,AUD 5Y Swap
ADSW10 Curncy,-50,AUD 10Y Swap
